,openTime,open,high,low,close,volume,closeTime,assestVolume,noOfTrades,symbol,interval
110,2023-01-01T06:50:00,16546.76,16547.82,16543.8,16546.99,91.02034,2023-01-01T06:50:59.999000,1505953.2152081,3218,btcusdt,1m
111,2023-01-01T06:51:00,16546.49,16547.9,16543.15,16543.57,97.09021,2023-01-01T06:51:59.999000,1606456.8292932,3038,btcusdt,1m
112,2023-01-01T06:52:00,16543.57,16543.83,16540.09,16540.52,48.68389,2023-01-01T06:52:59.999000,805330.3489439,2132,btcusdt,1m
113,2023-01-01T06:53:00,16540.52,16544.77,16539.74,16543.95,58.79401,2023-01-01T06:53:59.999000,972595.0573387,2142,btcusdt,1m
114,2023-01-01T06:54:00,16543.55,16546.56,16543.55,16545.91,28.25337,2023-01-01T06:54:59.999000,467457.5221349,1428,btcusdt,1m
115,2023-01-01T06:55:00,16545.91,16547.89,16544.92,16547.48,66.4852,2023-01-01T06:55:59.999000,1100089.6177831,1929,btcusdt,1m
116,2023-01-01T06:56:00,16547.48,16552.0,16546.65,16550.81,97.94552,2023-01-01T06:56:59.999000,1620990.2980826,2337,btcusdt,1m
117,2023-01-01T06:57:00,16550.81,16556.8,16549.57,16553.35,165.19189,2023-01-01T06:57:59.999000,2734457.874903,3676,btcusdt,1m
118,2023-01-01T06:58:00,16553.35,16555.36,16549.28,16552.34,111.54809,2023-01-01T06:58:59.999000,1846416.8675388,2754,btcusdt,1m
119,2023-01-01T06:59:00,16552.74,16553.43,16549.43,16551.47,37.22213,2023-01-01T06:59:59.999000,616091.3555109,1577,btcusdt,1m
120,2023-01-01T07:00:00,16551.47,16551.53,16542.23,16542.44,155.52693,2023-01-01T07:00:59.999000,2573306.7711148,4353,btcusdt,1m
121,2023-01-01T07:01:00,16543.06,16547.27,16541.0,16546.43,113.58873,2023-01-01T07:01:59.999000,1879267.8112755,3071,btcusdt,1m
122,2023-01-01T07:02:00,16546.93,16547.32,16542.97,16544.48,31.29288,2023-01-01T07:02:59.999000,517748.0716829,1522,btcusdt,1m
123,2023-01-01T07:03:00,16544.48,16545.0,16540.79,16540.92,35.2483,2023-01-01T07:03:59.999000,583102.0694269,1527,btcusdt,1m
124,2023-01-01T07:04:00,16541.25,16542.18,16540.03,16541.43,28.38028,2023-01-01T07:04:59.999000,469443.844061,1386,btcusdt,1m
125,2023-01-01T07:05:00,16541.86,16542.52,16540.02,16541.54,22.48394,2023-01-01T07:05:59.999000,371910.3324421,1252,btcusdt,1m
126,2023-01-01T07:06:00,16541.3,16542.89,16540.51,16542.27,35.30114,2023-01-01T07:06:59.999000,583949.5123703,1474,btcusdt,1m
127,2023-01-01T07:07:00,16542.27,16542.36,16540.56,16541.66,32.8348,2023-01-01T07:07:59.999000,543140.6020722,1448,btcusdt,1m
128,2023-01-01T07:08:00,16541.92,16543.77,16541.15,16543.17,28.67506,2023-01-01T07:08:59.999000,474356.5704526,1419,btcusdt,1m
129,2023-01-01T07:09:00,16543.16,16543.61,16542.21,16542.94,25.36316,2023-01-01T07:09:59.999000,419578.6545819,1432,btcusdt,1m
130,2023-01-01T07:10:00,16542.67,16543.35,16540.65,16540.96,40.25811,2023-01-01T07:10:59.999000,665942.2408185,1623,btcusdt,1m
131,2023-01-01T07:11:00,16540.96,16542.46,16540.0,16542.04,39.96885,2023-01-01T07:11:59.999000,661132.4638535,1670,btcusdt,1m
132,2023-01-01T07:12:00,16542.4,16542.66,16540.67,16541.73,42.21405,2023-01-01T07:12:59.999000,698298.47695,1542,btcusdt,1m
133,2023-01-01T07:13:00,16541.73,16542.39,16539.57,16541.52,53.64718,2023-01-01T07:13:59.999000,887373.6182566,1956,btcusdt,1m
134,2023-01-01T07:14:00,16541.14,16551.59,16541.14,16549.03,218.31312,2023-01-01T07:14:59.999000,3612337.302796,5107,btcusdt,1m
135,2023-01-01T07:15:00,16549.02,16552.91,16547.8,16552.77,82.55166,2023-01-01T07:15:59.999000,1366229.09502,3042,btcusdt,1m
136,2023-01-01T07:16:00,16552.26,16554.56,16551.52,16552.56,40.04515,2023-01-01T07:16:59.999000,662864.4127217,1841,btcusdt,1m
137,2023-01-01T07:17:00,16552.91,16553.62,16550.81,16551.93,74.85809,2023-01-01T07:17:59.999000,1239058.5422225,2597,btcusdt,1m
138,2023-01-01T07:18:00,16551.48,16551.93,16550.23,16551.42,29.82223,2023-01-01T07:18:59.999000,493591.4440655,1150,btcusdt,1m
139,2023-01-01T07:19:00,16551.42,16552.72,16550.03,16552.72,39.06748,2023-01-01T07:19:59.999000,646612.2617101,1442,btcusdt,1m
140,2023-01-01T07:20:00,16552.72,16553.02,16551.5,16551.97,37.42397,2023-01-01T07:20:59.999000,619449.6782047,1437,btcusdt,1m
141,2023-01-01T07:21:00,16551.97,16553.75,16546.82,16548.6,85.79094,2023-01-01T07:21:59.999000,1419855.929508,2655,btcusdt,1m
142,2023-01-01T07:22:00,16548.6,16550.12,16547.43,16548.69,62.79458,2023-01-01T07:22:59.999000,1039170.8568344,2039,btcusdt,1m
